Episode: 268, Score: 42, Last 100 mean: 113.41000366210938
Episode: 269, Score: 132, Last 100 mean: 114.12000274658203
Episode: 270, Score: 75, Last 100 mean: 111.91000366210938
Episode: 271, Score: 111, Last 100 mean: 112.5199966430664
Episode: 272, Score: 76, Last 100 mean: 112.31999969482422
Episode: 273, Score: 59, Last 100 mean: 111.76000213623047
Episode: 274, Score: 55, Last 100 mean: 111.41999816894531
Episode: 275, Score: 151, Last 100 mean: 111.4800033569336
Episode: 276, Score: 47, Last 100 mean: 111.23999786376953
Episode: 277, Score: 71, Last 100 mean: 110.76000213623047
Episode: 278, Score: 44, Last 100 mean: 110.55999755859375
Episode: 279, Score: 73, Last 100 mean: 110.3499984741211
Episode: 280, Score: 54, Last 100 mean: 109.63999938964844
Episode: 281, Score: 72, Last 100 mean: 109.5999984741211
Episode: 282, Score: 40, Last 100 mean: 108.66999816894531
Episode: 283, Score: 83, Last 100 mean: 108.87999725341797
Episode: 284, Score: 65, Last 100 mean: 108.08999633789062
Episode: 285, Score: 281, Last 100 mean: 107.79000091552734
Episode: 286, Score: 96, Last 100 mean: 108.33000183105469
Episode: 287, Score: 92, Last 100 mean: 108.58999633789062
Episode: 288, Score: 319, Last 100 mean: 111.06999969482422
Episode: 289, Score: 98, Last 100 mean: 110.29000091552734
Episode: 290, Score: 282, Last 100 mean: 112.63999938964844
Episode: 291, Score: 207, Last 100 mean: 114.0999984741211
Episode: 292, Score: 59, Last 100 mean: 113.95999908447266
Episode: 293, Score: 274, Last 100 mean: 113.80999755859375
Episode: 294, Score: 60, Last 100 mean: 113.63999938964844
Episode: 295, Score: 72, Last 100 mean: 112.43000030517578
Episode: 296, Score: 68, Last 100 mean: 112.43000030517578
Episode: 297, Score: 277, Last 100 mean: 114.7300033569336
Episode: 298, Score: 133, Last 100 mean: 114.55999755859375
Episode: 299, Score: 74, Last 100 mean: 114.29000091552734
Episode: 300, Score: 113, Last 100 mean: 114.70999908447266
Episode: 301, Score: 59, Last 100 mean: 114.29000091552734
Episode: 302, Score: 63, Last 100 mean: 113.66999816894531
Episode: 303, Score: 99, Last 100 mean: 114.19999694824219
Episode: 304, Score: 55, Last 100 mean: 113.95999908447266
Episode: 305, Score: 88, Last 100 mean: 112.58999633789062
Episode: 306, Score: 110, Last 100 mean: 111.22000122070312
Episode: 307, Score: 73, Last 100 mean: 109.88999938964844
Episode: 308, Score: 53, Last 100 mean: 109.66000366210938
Episode: 309, Score: 83, Last 100 mean: 109.47000122070312
Episode: 310, Score: 48, Last 100 mean: 109.51000213623047
Episode: 311, Score: 46, Last 100 mean: 108.06999969482422
Episode: 312, Score: 54, Last 100 mean: 107.4800033569336
Episode: 313, Score: 66, Last 100 mean: 106.58999633789062
Episode: 314, Score: 48, Last 100 mean: 106.27999877929688
Episode: 315, Score: 64, Last 100 mean: 106.37999725341797
Episode: 316, Score: 73, Last 100 mean: 106.66999816894531
Episode: 317, Score: 213, Last 100 mean: 108.0199966430664
Episode: 318, Score: 235, Last 100 mean: 108.2300033569336
Episode: 319, Score: 94, Last 100 mean: 108.13999938964844
Episode: 320, Score: 58, Last 100 mean: 108.12999725341797
Episode: 321, Score: 97, Last 100 mean: 108.27999877929688
Episode: 322, Score: 41, Last 100 mean: 108.0999984741211
Episode: 323, Score: 70, Last 100 mean: 108.20999908447266
Episode: 324, Score: 136, Last 100 mean: 108.7300033569336
Episode: 325, Score: 112, Last 100 mean: 109.0999984741211
Episode: 326, Score: 69, Last 100 mean: 109.16999816894531
Episode: 327, Score: 52, Last 100 mean: 108.43000030517578
Episode: 328, Score: 51, Last 100 mean: 106.83999633789062
Episode: 329, Score: 65, Last 100 mean: 106.44999694824219
Episode: 330, Score: 62, Last 100 mean: 106.16000366210938
Episode: 331, Score: 91, Last 100 mean: 106.58000183105469
Episode: 332, Score: 63, Last 100 mean: 106.54000091552734
Episode: 333, Score: 202, Last 100 mean: 107.95999908447266
Episode: 334, Score: 87, Last 100 mean: 107.98999786376953
Episode: 335, Score: 59, Last 100 mean: 107.0
Episode: 336, Score: 89, Last 100 mean: 106.79000091552734
Episode: 337, Score: 76, Last 100 mean: 105.68000030517578
Episode: 338, Score: 47, Last 100 mean: 103.93000030517578
Episode: 339, Score: 198, Last 100 mean: 104.30000305175781
Episode: 340, Score: 203, Last 100 mean: 105.70999908447266
Episode: 341, Score: 46, Last 100 mean: 104.48999786376953
Episode: 342, Score: 54, Last 100 mean: 104.38999938964844
Episode: 343, Score: 55, Last 100 mean: 103.83999633789062
Episode: 344, Score: 196, Last 100 mean: 105.33000183105469
Episode: 345, Score: 45, Last 100 mean: 104.83000183105469
